Timestamp,What is your birth year? (e.g. 1998),Gender?,  What is your highest level of education?  ,  What industry do you work in?  ,  How would you rate your technical knowledge of AI?  ,  How often do you use AI-powered tools?  ,"What AI-powered services do you use most frequently? 
(You can choose multiple) ",  Why do you typically use AI?  ,"Have you noticed AI-generated content (e.g., news, ads, recommendations) influencing your choices in any of the following?   ",Do you think that AI recommendation based on your own choice is helping you?,Do you think that we should be more concern about using AI system?,"Do you think we should trust AI to make critical decisions in  Healthcare (e.g., AI diagnosing diseases)?",How much do you trust AI to make critical decisions in Healthcare?,"Do you think we should trust AI to make critical decisions in  Finance (e.g., AI approving loans or detecting fraud)?",How much do you trust AI to make critical decisions in Finance?,"Do you think we should trust AI to make critical decisions in  Hiring & Recruitment (e.g., AI screening job applications)?",How much do you trust AI to make critical decisions in Hiring and Recruitment?,"Do you think we should trust AI to make critical decisions in  Education (e.g., AI-assisted learning, grading systems)?",How much do you trust AI to make critical decisions in Education?,"Do you think we should trust AI to make critical decisions in  Customer Service (e.g., AI chatbots solving queries)?",How much do you trust AI to make critical decisions in Customer Service?,Have you ever experienced an AI-driven decision that felt unfair or biased?,Do you believe AI will replace jobs in your industry within the next 10 years?  ,Do you believe AI will create more jobs than it eliminates?  ,Are you actively learning new skills to adapt to AI-driven changes in the job market?  ,What is your biggest concern about AI?  ,Do you think AI should be more strictly regulated by governments?  ,Do you believe AI should be required to disclose when its content is AI-generated?  ,"How do you feel about AI making creative works (e.g., writing books, making music, generating art)?  "
2025/04/29 12:13:51 pm EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Google Assistant,Personal-Use;Assignment,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,Yes,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:53 pm EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant,Data-Analysis;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,Maybe,1,Maybe,1,Yes,3,Maybe,3,Maybe,3,No,Yes-but-not-completely,Yes,Yes,Privacy and data security risks,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:55 pm EEST,2005,Female,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Siri;Google Assistant;Grammarly,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,Yes,AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/29 12:13:56 pm EEST,2005,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,Unsure,Yes,Yes,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:13:57 pm EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini,Automation,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Yes,1,Maybe,3,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:14:02 pm EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Google Assistant;Grammarly,Assignment,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/29 12:14:05 pm EEST,2003,Male,HSC,Student,Beginner,Daily,Gemini;Google Assistant,Assignment;Education,Social media content consumption,Yes,Yes,Maybe,1,Maybe,1,Yes,4,Maybe,3,Maybe,3,Yes,Yes-but-not-completely,Maybe,No-Effect-in-my-career,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/04/29 12:14:05 pm EEST,2005,Male,HSC,Student,Beginner,Weekly- A few times,ChatGPT;Google Assistant,Personal-Use;Assignment;Education,Online shopping;Education/learning habits,Maybe,Maybe,No,1,No,1,Maybe,3,Maybe,3,Maybe,3,Maybe,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/04/29 12:14:11 pm EEST,2006,Male,Bachelor,Student,Beginner,Daily,ChatGPT;Gemini;Google Assistant,Automation,Online shopping;Social media content consumption;Career decisions,Maybe,Yes,No,1,Maybe,3,Maybe,3,Maybe,3,Maybe,3,Maybe,Yes,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:14:14 pm EEST,2005,Male,HSC,Student,Intermediate,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Automation;Data-Analysis;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,2,No,3,Maybe,2,Maybe,2,Maybe,3,Maybe,No,Yes,Yes,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 12:14:21 pm EEST,2006,Female,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Siri;Alexa;Google Assistant,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,Maybe,3,Maybe,3,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/29 12:15:21 pm EEST,2004,Male,HSC,Student,Expert,Daily,ChatGPT;Google Assistant,Assignment;Education,Career decisions;Education/learning habits,Maybe,Yes,No,1,No,1,Maybe,2,Maybe,3,Maybe,3,Yes,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"No, AI should be allowed to develop freely","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/29 4:38:36 pm EEST,1996,Female,Master,Education,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Grammarly,Coding;Education,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,No,1,Yes,4,Yes,4,Maybe,3,No,1,Yes,Yes-but-not-completely,Yes,No,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/29 4:41:49 pm EEST,1997,Male,Master,Healthcare,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Siri;Google Assistant;Grammarly,Personal-Use;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,No,1,Maybe,3,Maybe,3,No,1,Yes,4,Yes,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/29 4:44:55 pm EEST,1995,Male,Master,Finance,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Siri;Google Assistant;Grammarly,Personal-Use,Online shopping;Social media content consumption,Yes,Yes,No,1,Maybe,3,Maybe,3,No,1,Yes,5,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/05/04 7:29:47 am EEST,2006,Male,HSC,Student,Beginner,Daily,ChatGPT,Data-Analysis,Education/learning habits,No,Maybe,Yes,3,Maybe,3,No,3,Yes,3,Yes,3,Yes,Yes,Yes,Yes,Job loss and automation replacing workers;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/05/04 7:30:25 am EEST,2003,Male,Bachelor,Student,Beginner,Daily,ChatGPT;Gemini,Personal-Use,Education/learning habits,Yes,Yes,No,1,Yes,1,Yes,1,Yes,2,Yes,1,Yes,No,No,Yes,Job loss and automation replacing workers,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/05/04 7:31:10 am EEST,2005,Male,HSC,Others,Intermediate,Daily,ChatGPT;Siri;Alexa;Google Assistant,Personal-Use;Assignment;Education,Career decisions,Yes,Yes,No,3,Maybe,3,Maybe,1,No,1,No,1,No,Yes-but-not-completely,No,No,Job loss and automation replacing workers;Privacy and data security risks,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/04 7:33:19 am EEST,2003,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek,Education,Career decisions;Education/learning habits,Yes,Yes,Maybe,1,Yes,1,Maybe,1,Maybe,1,Maybe,1,Yes,No,No,No-Effect-in-my-career,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes,"Yes, AI should have strong legal restrictions;Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/04 7:33:30 am EEST,2004,Male,Bachelor,Student,Beginner,Monthly- A few times,ChatGPT;Siri,Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,Maybe,3,Maybe,3,Yes,4,Yes,3,Yes,3,Yes,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/05/04 7:33:59 am EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Google Assistant,Education,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,Maybe,3,Maybe,3,Yes,4,Maybe,4,Maybe,3,No,No,No,Yes,Job loss and automation replacing workers;AI bias in decision-making;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/05/04 7:34:02 am EEST,2004,Male,HSC,Student,Beginner,Weekly- A few times,ChatGPT,Assignment;Education;,None of the above,Maybe,Yes,Maybe,3,Maybe,3,Yes,5,Maybe,3,No,1,No,Yes-but-not-completely,No,Yes,"None, I am optimistic about AI","Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/04 7:34:14 am EEST,1997,Female,Master,Education,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Grammarly,Coding;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,Maybe,3,Maybe,3,Yes,4,Maybe,3,Yes,4,Yes,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/05/04 7:34:14 am EEST,2004,Male,HSC,Student,Beginner,Weekly- A few times,ChatGPT,Education,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,Maybe,3,Maybe,3,Yes,4,Yes,3,Yes,4,Yes,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/05/04 7:34:16 am EEST,2002,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini,Personal-Use;Assignment,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,Maybe,1,Maybe,1,Yes,1,Yes,1,Yes,1,Maybe,Yes,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/05/04 7:34:16 am EEST,2004,Male,HSC,Student,Beginner,Weekly- A few times,ChatGPT;Gemini;Deep Seek;Siri;Google Assistant,Assignment;Education,Social media content consumption,Maybe,Yes,Maybe,3,Maybe,3,Maybe,2,Yes,5,Maybe,3,Yes,Unsure,Yes,No,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/05/04 7:34:16 am EEST,2004,Male,HSC,Student,Beginner,Never,ChatGPT;Gemini,Data-Analysis;Assignment;Education;,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,No,1,No,1,Yes,4,No,1,Yes,4,Yes,Yes-but-not-completely,Yes,Yes,"Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality;None, I am optimistic about AI","Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/05/04 7:34:16 am EEST,2005,Female,HSC,Student,Beginner,Daily,ChatGPT;Deep Seek;Google Assistant,Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,Maybe,3,Maybe,3,Yes,4,Maybe,3,Yes,4,Maybe,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/05/04 7:34:18 am EEST,2007,Female,HSC,Student,Beginner,Daily,ChatGPT;Google Assistant,Education,Online shopping,Yes,Yes,Yes,1,Yes,1,Yes,1,Maybe,1,Maybe,1,Yes,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/05/04 7:34:18 am EEST,2005,Male,Bachelor,Student,Beginner,Daily,ChatGPT;Siri,Personal-Use;Education,Education/learning habits,Maybe,Yes,No,2,Maybe,3,Yes,4,Maybe,3,Maybe,3,Yes,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/04 7:34:23 am EEST,2000,Male,Bachelor,Student,Intermediate,Daily,ChatGPT;Gemini;Deep Seek;Siri;Google Assistant,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,Maybe,3,Maybe,3,Yes,5,Maybe,3,Yes,4,Yes,Yes,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/05/04 7:34:24 am EEST,2003,Female,HSC,Student,Beginner,Daily,ChatGPT,Education,Online shopping;Social media content consumption;Education/learning habits,Maybe,Yes,Maybe,3,Maybe,3,Yes,4,Maybe,2,Yes,3,Maybe,Unsure,Yes,Yes,"Job loss and automation replacing workers;AI being used for misinformation and deepfakes;None, I am optimistic about AI","Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/05/04 7:34:26 am EEST,2004,Male,HSC,Student,Intermediate,Weekly- A few times,ChatGPT;Deep Seek;Grammarly,Data-Analysis;Personal-Use;Assignment;Education,Social media content consumption,Yes,Yes,No,2,Maybe,3,Yes,1,Maybe,4,Maybe,3,Maybe,Unsure,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/04 7:34:55 am EEST,2003,Male,HSC,Student,None,Weekly- A few times,ChatGPT;Deep Seek,Automation;Education,Online shopping;Career decisions,Maybe,Yes,Maybe,3,Maybe,3,Maybe,4,Maybe,4,Yes,4,Yes,Yes-but-not-completely,Maybe,Yes,Privacy and data security risks;AI being used for misinformation and deepfakes,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/04 7:34:59 am EEST,2004,Male,Bachelor,Student,Beginner,Daily,ChatGPT;Siri,Automation;Data-Analysis;Personal-Use;Assignment,Social media content consumption;Education/learning habits,Yes,Yes,Yes,4,Maybe,3,Maybe,3,Yes,5,Maybe,3,Maybe,Yes,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions;Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/05/04 7:35:35 am EEST,2004,Male,HSC,Student,None,Weekly- A few times,ChatGPT;Gemini;Deep Seek,Assignment;Education,Education/learning habits,Yes,Yes,No,2,Yes,2,Yes,3,Yes,3,Yes,3,Yes,Yes,Yes,Yes,Job loss and automation replacing workers;AI being used for misinformation and deepfakes,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/05/04 7:35:48 am EEST,2004,Male,Bachelor,Student,Intermediate,Daily,ChatGPT,Personal-Use;Assignment;Education,Social media content consumption;Education/learning habits,Yes,Yes,Maybe,3,Yes,3,Yes,4,Yes,4,Yes,4,Yes,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/05/04 7:35:56 am EEST,2003,Male,Bachelor,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek,Personal-Use;Assignment;Education,None of the above,Yes,Yes,Maybe,3,Yes,3,Maybe,2,Yes,3,Yes,3,Yes,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/05/04 7:38:06 am EEST,1990,Male,HSC,Student,Beginner,Daily,ChatGPT,Data-Analysis;Personal-Use;Education,Online shopping;Education/learning habits,Yes,Yes,Maybe,4,Yes,4,Yes,4,Yes,5,Yes,4,No,Yes-but-not-completely,No,No,Job loss and automation replacing workers;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is exciting and beneficial
2025/05/04 11:16:46 am EEST,2005,Male,Bachelor,Student,Intermediate,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant,Data-Analysis;Personal-Use;Assignment;Education,Social media content consumption,Yes,Yes,No,1,Maybe,1,No,1,Yes,3,Yes,3,Yes,No,No,Yes,Privacy and data security risks;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/05/04 12:00:58 pm EEST,2004,Female,HSC,Student,Beginner,Daily,ChatGPT;Google Assistant;Grammarly,Personal-Use;Education,Online shopping;Social media content consumption,Maybe,Maybe,No,1,Maybe,2,Maybe,1,Maybe,3,Yes,2,Yes,Yes-but-not-completely,Maybe,No,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/04 12:11:38 pm EEST,2002,Female,HSC,Student,Intermediate,Weekly- A few times,Deep Seek,Personal-Use;Education,Online shopping;Social media content consumption,Maybe,Maybe,Yes,4,Yes,4,Yes,5,Yes,5,Yes,5,Maybe,Yes,No,No-Effect-in-my-career,Job loss and automation replacing workers;AI being used for misinformation and deepfakes,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/05/04 12:14:54 pm EEST,1995,Male,Master,Others,Expert,Daily,ChatGPT;Gemini;Google Assistant,Personal-Use;Education;Medical,Online shopping;Social media content consumption;Education/learning habits,Yes,Maybe,No,2,No,2,Maybe,3,Yes,4,Yes,5,Yes,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","No, it is unnecessary",It depends on how AI is used
2025/05/04 12:18:58 pm EEST,1997,Female,Master,Others,None,Monthly- A few times,Google Assistant,Personal-Use,Online shopping,Yes,No,No,1,Yes,2,Yes,3,Maybe,3,Yes,4,Yes,Unsure,Maybe,No-Effect-in-my-career,AI being used for misinformation and deepfakes,"No, AI should be allowed to develop freely","Only in certain cases (e.g., news, official documents)",AI-generated content is exciting and beneficial
2025/05/04 12:22:55 pm EEST,2006,Female,SSC,Student,Beginner,Monthly- A few times,Google Assistant,Personal-Use,Online shopping,Yes,No,Yes,4,Yes,3,Yes,4,Yes,4,Yes,4,Yes,Yes,Yes,No-Effect-in-my-career,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/05/04 1:40:54 pm EEST,1996,Male,Master,Education,Intermediate,Daily,ChatGPT;Grammarly,Education,Online shopping;Social media content consumption,Maybe,Maybe,No,3,No,2,Maybe,4,Yes,4,Yes,4,No,Unsure,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI being used for misinformation and deepfakes,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/04 1:48:10 pm EEST,2002,Female,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,Maybe,3,Maybe,3,Yes,4,Yes,3,Yes,4,Yes,Yes-but-not-completely,Yes,No,Job loss and automation replacing workers;Privacy and data security risks;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions;Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/04 6:14:44 pm EEST,1999,Female,Master,Education,Intermediate,Daily,ChatGPT,Education,Education/learning habits,Maybe,Yes,No,1,No,1,No,1,Yes,3,Yes,3,Maybe,Yes-but-not-completely,Maybe,No-Effect-in-my-career,Privacy and data security risks;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/05/04 7:06:52 pm EEST,1996,Female,Bachelor,Education,Intermediate,Daily,ChatGPT;Grammarly,Automation;Data-Analysis;Personal-Use;Assignment;Education,Social media content consumption;Education/learning habits,Maybe,Yes,No,1,Maybe,2,No,1,Yes,4,Yes,4,Yes,Yes-but-not-completely,No,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/05 1:37:30 pm EEST,1999,Female,Bachelor,Others,Beginner,Daily,ChatGPT;Grammarly,Personal-Use;Assignment;Education,Education/learning habits,No,Yes,No,1,No,1,No,1,No,1,No,1,No,Yes,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions;Sometimes, but not too restrictive","No, it is unnecessary",It depends on how AI is used
2025/05/05 6:43:16 pm EEST,2000,Female,Bachelor,Marketing-Media,Expert,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Data-Analysis;Coding;Personal-Use,Online shopping;Social media content consumption;Education/learning habits,Yes,Maybe,Maybe,3,No,2,Yes,4,Yes,4,Yes,4,Yes,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/06 8:59:02 am EEST,2003,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Siri;Google Assistant;Grammarly,Data-Analysis;Personal-Use;Assignment;Education,Social media content consumption;Education/learning habits,Yes,Yes,No,1,Maybe,1,No,1,Maybe,1,Yes,4,Yes,No,Yes,No,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/06 8:59:04 am EEST,2002,Female,HSC,Student,Beginner,Daily,ChatGPT,Assignment,None of the above,Yes,Yes,No,3,Maybe,3,Maybe,3,Maybe,3,Maybe,4,Yes,No,Yes,Yes,Privacy and data security risks,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/05/06 8:59:05 am EEST,2004,Male,HSC,Student,Beginner,Daily,ChatGPT;Siri;Google Assistant,Personal-Use;Assignment;Education,Social media content consumption,Maybe,Yes,Maybe,1,Maybe,3,Yes,1,Maybe,5,Yes,5,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/05/06 8:59:06 am EEST,1997,Female,Master,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Coding;Personal-Use;Education,Online shopping;Social media content consumption,Yes,Yes,No,1,Maybe,3,Yes,5,Maybe,3,Yes,4,Yes,No,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
